naics_code,industry_description,firm_size,number_of_firms
44221,Floor Covering Stores,1-4 employees,4537
44221,Floor Covering Stores,4-9 employees,2037
44221,Floor Covering Stores,10-19 employees,1004
44221,Floor Covering Stores,20-99 employees,527
44221,Floor Covering Stores,100-499 employees,55
44221,Floor Covering Stores,500+ employees,14
442210,Floor Covering Stores,1-4 employees,4537
442210,Floor Covering Stores,4-9 employees,2037
442210,Floor Covering Stores,10-19 employees,1004
442210,Floor Covering Stores,20-99 employees,527
442210,Floor Covering Stores,100-499 employees,55
442210,Floor Covering Stores,500+ employees,14
44229,Other Home Furnishings Stores,1-4 employees,6000
44229,Other Home Furnishings Stores,4-9 employees,1759
44229,Other Home Furnishings Stores,10-19 employees,688
44229,Other Home Furnishings Stores,20-99 employees,275
44229,Other Home Furnishings Stores,100-499 employees,49
44229,Other Home Furnishings Stores,500+ employees,44
442291,Window Treatment Stores,1-4 employees,1372
442291,Window Treatment Stores,4-9 employees,316
442291,Window Treatment Stores,10-19 employees,111
442291,Window Treatment Stores,20-99 employees,41
442291,Window Treatment Stores,100-499 employees,3
442291,Window Treatment Stores,500+ employees,3
442299,All Other Home Furnishings Stores,1-4 employees,4628
442299,All Other Home Furnishings Stores,4-9 employees,1445
442299,All Other Home Furnishings Stores,10-19 employees,578
442299,All Other Home Furnishings Stores,20-99 employees,235
442299,All Other Home Furnishings Stores,100-499 employees,46
442299,All Other Home Furnishings Stores,500+ employees,41
443,Electronics and Appliance Stores,1-4 employees,8291
443,Electronics and Appliance Stores,4-9 employees,2786
443,Electronics and Appliance Stores,10-19 employees,1483
443,Electronics and Appliance Stores,20-99 employees,849
443,Electronics and Appliance Stores,100-499 employees,131
443,Electronics and Appliance Stores,500+ employees,77
4431,Electronics and Appliance Stores,1-4 employees,8291
4431,Electronics and Appliance Stores,4-9 employees,2786
4431,Electronics and Appliance Stores,10-19 employees,1483
4431,Electronics and Appliance Stores,20-99 employees,849
4431,Electronics and Appliance Stores,100-499 employees,131
4431,Electronics and Appliance Stores,500+ employees,77
44314,Electronics and Appliance Stores,1-4 employees,8291
44314,Electronics and Appliance Stores,4-9 employees,2786
44314,Electronics and Appliance Stores,10-19 employees,1483
44314,Electronics and Appliance Stores,20-99 employees,849
44314,Electronics and Appliance Stores,100-499 employees,131
44314,Electronics and Appliance Stores,500+ employees,77
443141,Household Appliance Stores,1-4 employees,2228
443141,Household Appliance Stores,4-9 employees,1056
443141,Household Appliance Stores,10-19 employees,625
443141,Household Appliance Stores,20-99 employees,369
443141,Household Appliance Stores,100-499 employees,55
443141,Household Appliance Stores,500+ employees,28
443142,Electronics Stores,1-4 employees,6063
443142,Electronics Stores,4-9 employees,1730
443142,Electronics Stores,10-19 employees,858
443142,Electronics Stores,20-99 employees,483
443142,Electronics Stores,100-499 employees,76
443142,Electronics Stores,500+ employees,54
444,Building Material and Garden Equipment and Supplies Dealers,1-4 employees,20406
444,Building Material and Garden Equipment and Supplies Dealers,4-9 employees,10786
444,Building Material and Garden Equipment and Supplies Dealers,10-19 employees,7845
444,Building Material and Garden Equipment and Supplies Dealers,20-99 employees,5415
444,Building Material and Garden Equipment and Supplies Dealers,100-499 employees,872
444,Building Material and Garden Equipment and Supplies Dealers,500+ employees,247
4441,Building Material and Supplies Dealers,1-4 employees,14412
4441,Building Material and Supplies Dealers,4-9 employees,7662
4441,Building Material and Supplies Dealers,10-19 employees,5837
4441,Building Material and Supplies Dealers,20-99 employees,4122
4441,Building Material and Supplies Dealers,100-499 employees,652
4441,Building Material and Supplies Dealers,500+ employees,186
44411,Home Centers,1-4 employees,594
44411,Home Centers,4-9 employees,361
44411,Home Centers,10-19 employees,278
44411,Home Centers,20-99 employees,205
44411,Home Centers,100-499 employees,57
44411,Home Centers,500+ employees,20
444110,Home Centers,1-4 employees,594
444110,Home Centers,4-9 employees,361
444110,Home Centers,10-19 employees,278
444110,Home Centers,20-99 employees,205
444110,Home Centers,100-499 employees,57
444110,Home Centers,500+ employees,20
44412,Paint and Wallpaper Stores,1-4 employees,819
44412,Paint and Wallpaper Stores,4-9 employees,308
44412,Paint and Wallpaper Stores,10-19 employees,145
44412,Paint and Wallpaper Stores,20-99 employees,81
44412,Paint and Wallpaper Stores,100-499 employees,32
44412,Paint and Wallpaper Stores,500+ employees,8
444120,Paint and Wallpaper Stores,1-4 employees,819
444120,Paint and Wallpaper Stores,4-9 employees,308
444120,Paint and Wallpaper Stores,10-19 employees,145
444120,Paint and Wallpaper Stores,20-99 employees,81
444120,Paint and Wallpaper Stores,100-499 employees,32
444120,Paint and Wallpaper Stores,500+ employees,8
44413,Hardware Stores,1-4 employees,3602
44413,Hardware Stores,4-9 employees,2112
44413,Hardware Stores,10-19 employees,2039
44413,Hardware Stores,20-99 employees,1365
44413,Hardware Stores,100-499 employees,149
44413,Hardware Stores,500+ employees,43
444130,Hardware Stores,1-4 employees,3602
444130,Hardware Stores,4-9 employees,2112
444130,Hardware Stores,10-19 employees,2039
444130,Hardware Stores,20-99 employees,1365
444130,Hardware Stores,100-499 employees,149
444130,Hardware Stores,500+ employees,43
44419,Other Building Material Dealers,1-4 employees,9399
44419,Other Building Material Dealers,4-9 employees,4889
44419,Other Building Material Dealers,10-19 employees,3403
44419,Other Building Material Dealers,20-99 employees,2559
44419,Other Building Material Dealers,100-499 employees,489
44419,Other Building Material Dealers,500+ employees,138
444190,Other Building Material Dealers,1-4 employees,9399
444190,Other Building Material Dealers,4-9 employees,4889
444190,Other Building Material Dealers,10-19 employees,3403
444190,Other Building Material Dealers,20-99 employees,2559
444190,Other Building Material Dealers,100-499 employees,489
444190,Other Building Material Dealers,500+ employees,138
4442,Lawn and Garden Equipment and Supplies Stores,1-4 employees,5994
4442,Lawn and Garden Equipment and Supplies Stores,4-9 employees,3126
4442,Lawn and Garden Equipment and Supplies Stores,10-19 employees,2012
4442,Lawn and Garden Equipment and Supplies Stores,20-99 employees,1329
4442,Lawn and Garden Equipment and Supplies Stores,100-499 employees,245
4442,Lawn and Garden Equipment and Supplies Stores,500+ employees,75
44421,Outdoor Power Equipment Stores,1-4 employees,1600
44421,Outdoor Power Equipment Stores,4-9 employees,979
44421,Outdoor Power Equipment Stores,10-19 employees,532
44421,Outdoor Power Equipment Stores,20-99 employees,240
44421,Outdoor Power Equipment Stores,100-499 employees,57
44421,Outdoor Power Equipment Stores,500+ employees,15
444210,Outdoor Power Equipment Stores,1-4 employees,1600
444210,Outdoor Power Equipment Stores,4-9 employees,979
444210,Outdoor Power Equipment Stores,10-19 employees,532
444210,Outdoor Power Equipment Stores,20-99 employees,240
444210,Outdoor Power Equipment Stores,100-499 employees,57
444210,Outdoor Power Equipment Stores,500+ employees,15
44422,"Nursery, Garden Center, and Farm Supply Stores",1-4 employees,4394
44422,"Nursery, Garden Center, and Farm Supply Stores",4-9 employees,2148
44422,"Nursery, Garden Center, and Farm Supply Stores",10-19 employees,1483
44422,"Nursery, Garden Center, and Farm Supply Stores",20-99 employees,1097
44422,"Nursery, Garden Center, and Farm Supply Stores",100-499 employees,190
44422,"Nursery, Garden Center, and Farm Supply Stores",500+ employees,61
444220,"Nursery, Garden Center, and Farm Supply Stores",1-4 employees,4394
444220,"Nursery, Garden Center, and Farm Supply Stores",4-9 employees,2148
444220,"Nursery, Garden Center, and Farm Supply Stores",10-19 employees,1483
444220,"Nursery, Garden Center, and Farm Supply Stores",20-99 employees,1097
444220,"Nursery, Garden Center, and Farm Supply Stores",100-499 employees,190
444220,"Nursery, Garden Center, and Farm Supply Stores",500+ employees,61
44-45,Retail Trade,1-4 employees,394634
44-45,Retail Trade,4-9 employees,126744
44-45,Retail Trade,10-19 employees,67752
44-45,Retail Trade,20-99 employees,46937
44-45,Retail Trade,100-499 employees,7519
44-45,Retail Trade,500+ employees,2164
445,Food and Beverage Stores,1-4 employees,75600
445,Food and Beverage Stores,4-9 employees,21692
445,Food and Beverage Stores,10-19 employees,11893
445,Food and Beverage Stores,20-99 employees,9618
445,Food and Beverage Stores,100-499 employees,1254
445,Food and Beverage Stores,500+ employees,401
4451,Grocery Stores,1-4 employees,43879
4451,Grocery Stores,4-9 employees,10490
4451,Grocery Stores,10-19 employees,7030
4451,Grocery Stores,20-99 employees,7364
4451,Grocery Stores,100-499 employees,1044
4451,Grocery Stores,500+ employees,329
44511,Supermarkets and Other Grocery (except Convenience) Stores,1-4 employees,20420
44511,Supermarkets and Other Grocery (except Convenience) Stores,4-9 employees,5440
44511,Supermarkets and Other Grocery (except Convenience) Stores,10-19 employees,4405
44511,Supermarkets and Other Grocery (except Convenience) Stores,20-99 employees,6636
44511,Supermarkets and Other Grocery (except Convenience) Stores,100-499 employees,982
44511,Supermarkets and Other Grocery (except Convenience) Stores,500+ employees,287
445110,Supermarkets and Other Grocery (except Convenience) Stores,1-4 employees,20420
445110,Supermarkets and Other Grocery (except Convenience) Stores,4-9 employees,5440
445110,Supermarkets and Other Grocery (except Convenience) Stores,10-19 employees,4405
445110,Supermarkets and Other Grocery (except Convenience) Stores,20-99 employees,6636
445110,Supermarkets and Other Grocery (except Convenience) Stores,100-499 employees,982
445110,Supermarkets and Other Grocery (except Convenience) Stores,500+ employees,287
44512,Convenience Stores,1-4 employees,23459
44512,Convenience Stores,4-9 employees,5051
44512,Convenience Stores,10-19 employees,2629
44512,Convenience Stores,20-99 employees,743
44512,Convenience Stores,100-499 employees,73
44512,Convenience Stores,500+ employees,53
445120,Convenience Stores,1-4 employees,23459
445120,Convenience Stores,4-9 employees,5051
445120,Convenience Stores,10-19 employees,2629
445120,Convenience Stores,20-99 employees,743
445120,Convenience Stores,100-499 employees,73
445120,Convenience Stores,500+ employees,53
4452,Specialty Food Stores,1-4 employees,10770
4452,Specialty Food Stores,4-9 employees,4095
4452,Specialty Food Stores,10-19 employees,2436
4452,Specialty Food Stores,20-99 employees,1465
4452,Specialty Food Stores,100-499 employees,152
4452,Specialty Food Stores,500+ employees,50
44521,Meat Markets,1-4 employees,2385
44521,Meat Markets,4-9 employees,1308
44521,Meat Markets,10-19 employees,803
44521,Meat Markets,20-99 employees,438
44521,Meat Markets,100-499 employees,25
44521,Meat Markets,500+ employees,6
445210,Meat Markets,1-4 employees,2385
445210,Meat Markets,4-9 employees,1308
445210,Meat Markets,10-19 employees,803
445210,Meat Markets,20-99 employees,438
445210,Meat Markets,100-499 employees,25
445210,Meat Markets,500+ employees,6
44522,Fish and Seafood Markets,1-4 employees,1267
44522,Fish and Seafood Markets,4-9 employees,359
44522,Fish and Seafood Markets,10-19 employees,226
44522,Fish and Seafood Markets,20-99 employees,110
44522,Fish and Seafood Markets,100-499 employees,7
44522,Fish and Seafood Markets,500+ employees,4
445220,Fish and Seafood Markets,1-4 employees,1267
445220,Fish and Seafood Markets,4-9 employees,359
445220,Fish and Seafood Markets,10-19 employees,226
445220,Fish and Seafood Markets,20-99 employees,110
445220,Fish and Seafood Markets,100-499 employees,7
445220,Fish and Seafood Markets,500+ employees,4
44523,Fruit and Vegetable Markets,1-4 employees,1719
44523,Fruit and Vegetable Markets,4-9 employees,424
44523,Fruit and Vegetable Markets,10-19 employees,245
44523,Fruit and Vegetable Markets,20-99 employees,195
44523,Fruit and Vegetable Markets,100-499 employees,21
44523,Fruit and Vegetable Markets,500+ employees,4
445230,Fruit and Vegetable Markets,1-4 employees,1719
445230,Fruit and Vegetable Markets,4-9 employees,424
445230,Fruit and Vegetable Markets,10-19 employees,245
445230,Fruit and Vegetable Markets,20-99 employees,195
445230,Fruit and Vegetable Markets,100-499 employees,21
445230,Fruit and Vegetable Markets,500+ employees,4
44529,Other Specialty Food Stores,1-4 employees,5399
44529,Other Specialty Food Stores,4-9 employees,2004
44529,Other Specialty Food Stores,10-19 employees,1162
44529,Other Specialty Food Stores,20-99 employees,722
44529,Other Specialty Food Stores,100-499 employees,100
44529,Other Specialty Food Stores,500+ employees,39
445291,Baked Goods Stores,1-4 employees,1286
445291,Baked Goods Stores,4-9 employees,459
445291,Baked Goods Stores,10-19 employees,317
445291,Baked Goods Stores,20-99 employees,207
445291,Baked Goods Stores,100-499 employees,30
445291,Baked Goods Stores,500+ employees,11
445292,Confectionery and Nut Stores,1-4 employees,1116
445292,Confectionery and Nut Stores,4-9 employees,468
445292,Confectionery and Nut Stores,10-19 employees,228
445292,Confectionery and Nut Stores,20-99 employees,134
445292,Confectionery and Nut Stores,100-499 employees,26
445292,Confectionery and Nut Stores,500+ employees,15
445299,All Other Specialty Food Stores,1-4 employees,2997
445299,All Other Specialty Food Stores,4-9 employees,1077
445299,All Other Specialty Food Stores,10-19 employees,617
445299,All Other Specialty Food Stores,20-99 employees,384
445299,All Other Specialty Food Stores,100-499 employees,45
445299,All Other Specialty Food Stores,500+ employees,15
4453,"Beer, Wine, and Liquor Stores",1-4 employees,20957
4453,"Beer, Wine, and Liquor Stores",4-9 employees,7120
4453,"Beer, Wine, and Liquor Stores",10-19 employees,2441
4453,"Beer, Wine, and Liquor Stores",20-99 employees,833
4453,"Beer, Wine, and Liquor Stores",100-499 employees,83
4453,"Beer, Wine, and Liquor Stores",500+ employees,63
44531,"Beer, Wine, and Liquor Stores",1-4 employees,20957
44531,"Beer, Wine, and Liquor Stores",4-9 employees,7120
44531,"Beer, Wine, and Liquor Stores",10-19 employees,2441
44531,"Beer, Wine, and Liquor Stores",20-99 employees,833
44531,"Beer, Wine, and Liquor Stores",100-499 employees,83
44531,"Beer, Wine, and Liquor Stores",500+ employees,63
445310,"Beer, Wine, and Liquor Stores",1-4 employees,20957
445310,"Beer, Wine, and Liquor Stores",4-9 employees,7120
445310,"Beer, Wine, and Liquor Stores",10-19 employees,2441
445310,"Beer, Wine, and Liquor Stores",20-99 employees,833
445310,"Beer, Wine, and Liquor Stores",100-499 employees,83
445310,"Beer, Wine, and Liquor Stores",500+ employees,63
446,Health and Personal Care Stores,1-4 employees,23427
